Date,Open,High,Low,Close,Adj Close,Volume
2020-07-17,464.000000,466.000000,462.000000,466.000000,466.000000,6057900
2020-07-20,466.000000,468.000000,444.000000,456.000000,456.000000,11083300
2020-07-21,456.000000,462.000000,454.000000,462.000000,462.000000,5287400
2020-07-22,462.000000,462.000000,458.000000,458.000000,458.000000,6604900
2020-07-23,460.000000,462.000000,458.000000,458.000000,458.000000,6532600
2020-07-24,458.000000,460.000000,456.000000,458.000000,458.000000,6338300
2020-07-27,458.000000,462.000000,456.000000,458.000000,458.000000,6294100
2020-07-28,458.000000,462.000000,458.000000,460.000000,460.000000,5466500
2020-07-29,460.000000,565.000000,458.000000,525.000000,525.000000,117220200
2020-07-30,535.000000,535.000000,500.000000,515.000000,515.000000,36284900
2020-08-03,515.000000,520.000000,480.000000,496.000000,496.000000,22067400
2020-08-04,496.000000,560.000000,494.000000,520.000000,520.000000,59428000
2020-08-05,520.000000,535.000000,505.000000,520.000000,520.000000,17006400
2020-08-06,525.000000,550.000000,525.000000,525.000000,525.000000,17988300
2020-08-07,525.000000,530.000000,515.000000,520.000000,520.000000,8831700
2020-08-10,525.000000,550.000000,515.000000,520.000000,520.000000,12847300
2020-08-11,525.000000,530.000000,520.000000,525.000000,525.000000,9395400
2020-08-12,530.000000,530.000000,520.000000,520.000000,520.000000,7017200
2020-08-13,520.000000,530.000000,515.000000,515.000000,515.000000,6228200
2020-08-14,520.000000,520.000000,505.000000,510.000000,510.000000,7871400
2020-08-18,510.000000,520.000000,510.000000,520.000000,520.000000,8232300
2020-08-19,520.000000,525.000000,510.000000,515.000000,515.000000,6156000
2020-08-24,515.000000,520.000000,510.000000,520.000000,520.000000,5415200
2020-08-25,520.000000,555.000000,520.000000,535.000000,535.000000,27715300
2020-08-26,540.000000,545.000000,525.000000,525.000000,525.000000,10356800
2020-08-27,530.000000,535.000000,520.000000,530.000000,530.000000,8756400
2020-08-28,530.000000,535.000000,525.000000,530.000000,530.000000,7392300
2020-08-31,530.000000,535.000000,494.000000,505.000000,505.000000,14033100
2020-09-01,505.000000,520.000000,500.000000,520.000000,520.000000,6494200
2020-09-02,520.000000,535.000000,520.000000,525.000000,525.000000,11022400
2020-09-03,525.000000,535.000000,520.000000,520.000000,520.000000,4877300
2020-09-04,520.000000,520.000000,510.000000,520.000000,520.000000,4462900
2020-09-07,525.000000,525.000000,510.000000,515.000000,515.000000,5475200
2020-09-08,515.000000,520.000000,510.000000,510.000000,510.000000,7144100
2020-09-09,520.000000,520.000000,496.000000,505.000000,505.000000,8804900
2020-09-10,500.000000,505.000000,470.000000,470.000000,470.000000,13751900
2020-09-11,468.000000,490.000000,438.000000,488.000000,488.000000,21805100
2020-09-14,488.000000,510.000000,488.000000,496.000000,496.000000,12818400
2020-09-15,496.000000,500.000000,482.000000,490.000000,490.000000,8037300
2020-09-16,490.000000,490.000000,482.000000,482.000000,482.000000,5159500
2020-09-17,482.000000,484.000000,476.000000,476.000000,476.000000,6053900
2020-09-18,476.000000,488.000000,474.000000,474.000000,474.000000,7129700
2020-09-21,476.000000,480.000000,462.000000,466.000000,466.000000,6376500
2020-09-22,466.000000,466.000000,446.000000,462.000000,462.000000,6983100
2020-09-23,462.000000,476.000000,450.000000,456.000000,456.000000,8215500
2020-09-24,456.000000,458.000000,442.000000,442.000000,442.000000,6502200
2020-09-25,444.000000,460.000000,440.000000,442.000000,442.000000,9244100
2020-09-28,442.000000,464.000000,442.000000,450.000000,450.000000,13650700
2020-09-29,454.000000,456.000000,440.000000,444.000000,444.000000,6702500
2020-09-30,446.000000,448.000000,440.000000,446.000000,446.000000,5198300
2020-10-01,448.000000,456.000000,444.000000,454.000000,454.000000,6557100
2020-10-02,456.000000,458.000000,444.000000,446.000000,446.000000,6079800
2020-10-05,446.000000,466.000000,446.000000,458.000000,458.000000,10600800
2020-10-06,462.000000,468.000000,454.000000,460.000000,460.000000,7146900
2020-10-07,462.000000,462.000000,454.000000,460.000000,460.000000,4653500
2020-10-08,460.000000,462.000000,458.000000,462.000000,462.000000,5614200
2020-10-09,464.000000,476.000000,460.000000,474.000000,474.000000,10804600
2020-10-12,474.000000,478.000000,470.000000,472.000000,472.000000,6764000
2020-10-13,472.000000,472.000000,462.000000,468.000000,468.000000,6612400
2020-10-14,468.000000,472.000000,466.000000,470.000000,470.000000,4950200
2020-10-15,470.000000,470.000000,464.000000,464.000000,464.000000,6187600
2020-10-16,464.000000,466.000000,462.000000,462.000000,462.000000,5588400
2020-10-19,464.000000,478.000000,462.000000,472.000000,472.000000,6969600
2020-10-20,474.000000,474.000000,468.000000,468.000000,468.000000,6543800
2020-10-21,472.000000,472.000000,468.000000,468.000000,468.000000,4460700
2020-10-22,468.000000,472.000000,464.000000,466.000000,466.000000,4768200
2020-10-23,466.000000,490.000000,466.000000,490.000000,490.000000,15017400
2020-10-26,500.000000,515.000000,476.000000,482.000000,482.000000,29400100
2020-10-27,482.000000,484.000000,474.000000,476.000000,476.000000,7802300
2020-11-02,476.000000,480.000000,466.000000,470.000000,470.000000,5601000
2020-11-03,470.000000,482.000000,466.000000,482.000000,482.000000,6755400
2020-11-04,484.000000,488.000000,470.000000,472.000000,472.000000,6949000
2020-11-05,474.000000,478.000000,472.000000,478.000000,478.000000,4553100
2020-11-06,478.000000,484.000000,478.000000,484.000000,484.000000,7382100
2020-11-09,484.000000,492.000000,484.000000,484.000000,484.000000,6291900
2020-11-10,486.000000,490.000000,482.000000,488.000000,488.000000,8275800
2020-11-11,490.000000,490.000000,482.000000,482.000000,482.000000,7841800
2020-11-12,482.000000,488.000000,480.000000,480.000000,480.000000,4879600
2020-11-13,480.000000,482.000000,478.000000,480.000000,480.000000,5804700
2020-11-16,482.000000,484.000000,480.000000,482.000000,482.000000,6174200
2020-11-17,482.000000,488.000000,482.000000,488.000000,488.000000,8873000
2020-11-18,488.000000,498.000000,488.000000,494.000000,494.000000,12405800
2020-11-19,494.000000,515.000000,494.000000,500.000000,500.000000,19700400
2020-11-20,500.000000,505.000000,498.000000,498.000000,498.000000,12207300
2020-11-23,498.000000,505.000000,494.000000,500.000000,500.000000,10085700
2020-11-24,500.000000,520.000000,500.000000,515.000000,515.000000,14931800
2020-11-25,515.000000,535.000000,500.000000,500.000000,500.000000,15885100
2020-11-26,505.000000,510.000000,500.000000,505.000000,505.000000,5491700
2020-11-27,510.000000,510.000000,500.000000,505.000000,505.000000,6885600
2020-11-30,510.000000,510.000000,480.000000,484.000000,484.000000,10238000
2020-12-01,486.000000,498.000000,480.000000,496.000000,496.000000,9309200
2020-12-02,496.000000,500.000000,496.000000,498.000000,498.000000,6300900
2020-12-03,498.000000,505.000000,496.000000,500.000000,500.000000,8203400
2020-12-04,500.000000,505.000000,498.000000,500.000000,500.000000,6314900
2020-12-07,500.000000,505.000000,496.000000,498.000000,498.000000,7036000
2020-12-08,498.000000,500.000000,494.000000,496.000000,496.000000,6377000
2020-12-10,498.000000,505.000000,496.000000,496.000000,496.000000,8209000
2020-12-11,496.000000,500.000000,490.000000,492.000000,492.000000,7237100
2020-12-14,492.000000,498.000000,490.000000,492.000000,492.000000,9191000
2020-12-15,492.000000,494.000000,488.000000,488.000000,488.000000,7734500
2020-12-16,490.000000,500.000000,488.000000,500.000000,500.000000,10869900
2020-12-17,505.000000,520.000000,500.000000,510.000000,510.000000,21908700
2020-12-18,515.000000,630.000000,505.000000,580.000000,580.000000,161279900
2020-12-21,585.000000,585.000000,555.000000,575.000000,575.000000,31261300
2020-12-22,575.000000,575.000000,535.000000,535.000000,535.000000,27173500
2020-12-23,535.000000,550.000000,500.000000,525.000000,525.000000,17866600
2020-12-28,525.000000,560.000000,510.000000,530.000000,530.000000,19095900
2020-12-29,535.000000,550.000000,510.000000,515.000000,515.000000,12139000
2020-12-30,520.000000,525.000000,500.000000,500.000000,500.000000,12913400
2021-01-04,505.000000,535.000000,484.000000,520.000000,520.000000,12266600
2021-01-05,520.000000,520.000000,505.000000,510.000000,510.000000,7906000
2021-01-06,510.000000,520.000000,500.000000,500.000000,500.000000,7814100
2021-01-07,500.000000,510.000000,500.000000,505.000000,505.000000,7448000
2021-01-08,505.000000,550.000000,500.000000,540.000000,540.000000,40182500
2021-01-11,530.000000,550.000000,525.000000,530.000000,530.000000,16081500
2021-01-12,530.000000,535.000000,510.000000,515.000000,515.000000,9651000
2021-01-13,520.000000,540.000000,515.000000,530.000000,530.000000,16847900
2021-01-14,535.000000,550.000000,520.000000,530.000000,530.000000,17455700
2021-01-15,530.000000,540.000000,520.000000,520.000000,520.000000,10414500
2021-01-18,525.000000,530.000000,515.000000,515.000000,515.000000,8443600
2021-01-19,515.000000,530.000000,510.000000,515.000000,515.000000,17145400
2021-01-20,520.000000,535.000000,510.000000,530.000000,530.000000,18986100
2021-01-21,530.000000,535.000000,520.000000,525.000000,525.000000,8814200
2021-01-22,525.000000,525.000000,505.000000,510.000000,510.000000,10775200
2021-01-25,510.000000,525.000000,498.000000,505.000000,505.000000,19096500
2021-01-26,510.000000,510.000000,482.000000,498.000000,498.000000,21564500
2021-01-27,498.000000,498.000000,476.000000,480.000000,480.000000,16308300
2021-01-28,480.000000,486.000000,464.000000,476.000000,476.000000,11027000
2021-01-29,474.000000,484.000000,464.000000,480.000000,480.000000,11602600
2021-02-01,480.000000,498.000000,456.000000,496.000000,496.000000,13237900
2021-02-02,496.000000,500.000000,478.000000,496.000000,496.000000,8139000
2021-02-03,496.000000,496.000000,488.000000,490.000000,490.000000,4985800
2021-02-04,490.000000,492.000000,484.000000,486.000000,486.000000,7573500
2021-02-05,486.000000,490.000000,484.000000,486.000000,486.000000,6255000
2021-02-08,488.000000,494.000000,482.000000,486.000000,486.000000,7397100
2021-02-09,486.000000,490.000000,476.000000,476.000000,476.000000,10644300
2021-02-10,476.000000,478.000000,472.000000,476.000000,476.000000,5276500
2021-02-11,476.000000,480.000000,472.000000,474.000000,474.000000,8970100
2021-02-15,476.000000,482.000000,472.000000,478.000000,478.000000,9418200
2021-02-16,478.000000,480.000000,472.000000,476.000000,476.000000,8686700
2021-02-17,478.000000,478.000000,464.000000,468.000000,468.000000,15827900
2021-02-18,468.000000,474.000000,468.000000,468.000000,468.000000,8564400
2021-02-19,468.000000,470.000000,466.000000,466.000000,466.000000,5696500
2021-02-22,466.000000,470.000000,466.000000,466.000000,466.000000,5395400
2021-02-23,466.000000,472.000000,466.000000,470.000000,470.000000,5592800
2021-02-24,470.000000,498.000000,470.000000,488.000000,488.000000,23823600
2021-02-25,492.000000,492.000000,480.000000,480.000000,480.000000,7381600
2021-02-26,480.000000,480.000000,470.000000,476.000000,476.000000,7003900
2021-03-01,476.000000,480.000000,472.000000,478.000000,478.000000,4461500
2021-03-02,484.000000,486.000000,476.000000,484.000000,484.000000,7207400
2021-03-03,484.000000,488.000000,478.000000,478.000000,478.000000,6427000
2021-03-04,478.000000,480.000000,462.000000,464.000000,464.000000,16153100
2021-03-05,464.000000,470.000000,460.000000,468.000000,468.000000,5040500
2021-03-08,468.000000,472.000000,462.000000,464.000000,464.000000,6840900
2021-03-09,464.000000,468.000000,462.000000,462.000000,462.000000,5241200
2021-03-10,462.000000,466.000000,462.000000,462.000000,462.000000,4135000
2021-03-12,462.000000,474.000000,462.000000,472.000000,472.000000,5778100
2021-03-15,470.000000,484.000000,462.000000,472.000000,472.000000,8467000
2021-03-16,474.000000,478.000000,472.000000,474.000000,474.000000,4543200
2021-03-17,472.000000,480.000000,472.000000,476.000000,476.000000,5923500
2021-03-18,476.000000,480.000000,468.000000,470.000000,470.000000,6076000
2021-03-19,472.000000,472.000000,462.000000,464.000000,464.000000,7727100
2021-03-22,466.000000,474.000000,464.000000,468.000000,468.000000,6221300
2021-03-23,468.000000,470.000000,466.000000,468.000000,468.000000,4311400
2021-03-24,468.000000,472.000000,464.000000,464.000000,464.000000,5401800
2021-03-25,464.000000,470.000000,462.000000,466.000000,466.000000,5562500
2021-03-26,468.000000,472.000000,464.000000,466.000000,466.000000,3337900
2021-03-29,468.000000,474.000000,464.000000,468.000000,468.000000,5315600
2021-03-30,468.000000,472.000000,464.000000,464.000000,464.000000,4034300
2021-03-31,466.000000,466.000000,450.000000,460.000000,460.000000,7552300
2021-04-01,464.000000,464.000000,458.000000,460.000000,460.000000,3853500
2021-04-05,460.000000,464.000000,458.000000,458.000000,458.000000,3415000
2021-04-06,458.000000,460.000000,456.000000,458.000000,458.000000,3817400
2021-04-07,456.000000,460.000000,456.000000,456.000000,456.000000,4131500
2021-04-08,456.000000,464.000000,454.000000,460.000000,460.000000,4465400
2021-04-09,458.000000,466.000000,458.000000,464.000000,464.000000,4546000
2021-04-12,464.000000,466.000000,456.000000,456.000000,456.000000,5405300
2021-04-13,456.000000,458.000000,452.000000,454.000000,454.000000,4049900
2021-04-14,454.000000,460.000000,454.000000,456.000000,456.000000,4339400
2021-04-15,456.000000,460.000000,456.000000,458.000000,458.000000,4181800
2021-04-16,460.000000,462.000000,456.000000,456.000000,456.000000,4005400
2021-04-19,456.000000,456.000000,450.000000,456.000000,456.000000,4378000
2021-04-20,456.000000,458.000000,452.000000,454.000000,454.000000,4407400
2021-04-21,458.000000,458.000000,452.000000,454.000000,454.000000,4082900
2021-04-22,456.000000,462.000000,454.000000,454.000000,454.000000,4798700
2021-04-23,454.000000,456.000000,452.000000,454.000000,454.000000,3371000
2021-04-26,454.000000,458.000000,452.000000,454.000000,454.000000,3882500
