Date,Open,High,Low,Close,Adj Close,Volume
2020-05-26,4545.952148,4634.652832,4541.833984,4626.798828,4626.798828,53757500
2020-05-27,4626.798828,4641.555176,4597.372070,4641.555176,4641.555176,60985400
2020-05-28,4641.555176,4741.603027,4638.808105,4716.185059,4716.185059,68549600
2020-05-29,4716.185059,4755.957031,4704.788086,4753.611816,4753.611816,104791300
2020-06-02,4753.611816,4884.011230,4753.611816,4847.506836,4847.506836,73135500
2020-06-03,4847.506836,4960.070801,4847.506836,4941.005859,4941.005859,101631500
2020-06-04,4941.005859,5014.764160,4899.390137,4916.704102,4916.704102,110933800
2020-06-05,4916.704102,4948.512207,4851.148926,4947.782227,4947.782227,86864800
2020-06-08,4947.782227,5103.085938,4947.782227,5070.561035,5070.561035,138169200
2020-06-09,5070.561035,5139.405762,5023.767090,5035.055176,5035.055176,115140600
2020-06-10,5035.055176,5036.855957,4892.817871,4920.682129,4920.682129,84234700
2020-06-11,4920.682129,4931.242188,4812.192871,4854.753906,4854.753906,71655200
2020-06-12,4854.753906,4880.358887,4712.073242,4880.358887,4880.358887,80885000
2020-06-15,4880.358887,4918.056152,4809.619141,4816.335938,4816.335938,64138400
2020-06-16,4816.335938,4989.526855,4816.335938,4986.458008,4986.458008,75836700
2020-06-17,4986.458008,5018.984863,4968.925781,4987.775879,4987.775879,68366200
2020-06-18,4987.775879,4993.613770,4925.248047,4925.248047,4925.248047,70877500
2020-06-19,4925.248047,4970.066895,4925.248047,4942.274902,4942.274902,57556700
2020-06-22,4942.274902,4957.666016,4904.766113,4918.831055,4918.831055,47869800
2020-06-23,4918.831055,4938.394043,4879.132813,4879.132813,4879.132813,54884300
2020-06-24,4879.132813,4977.650879,4879.132813,4964.734863,4964.734863,62466500
2020-06-25,4964.734863,4964.734863,4883.709961,4896.729980,4896.729980,50705900
2020-06-26,4896.729980,4941.138184,4882.141113,4904.087891,4904.087891,44280300
2020-06-29,4904.087891,4909.905762,4862.041016,4901.817871,4901.817871,44174500
2020-06-30,4901.817871,4939.839844,4894.120117,4905.392090,4905.392090,51279100
2020-07-01,4905.392090,4928.611816,4885.602051,4914.388184,4914.388184,43243400
2020-07-02,4914.388184,4966.779785,4914.388184,4966.779785,4966.779785,55396200
2020-07-03,4966.779785,4997.481934,4964.107910,4973.793945,4973.793945,55723400
2020-07-06,4973.793945,5009.345215,4973.490234,4988.866211,4988.866211,64282100
2020-07-07,4988.866211,5011.712891,4982.333984,4987.082031,4987.082031,72834600
2020-07-08,4987.082031,5080.251953,4985.017090,5076.173828,5076.173828,73499000
2020-07-09,5076.173828,5111.563965,5041.930176,5052.793945,5052.793945,79794300
2020-07-10,5052.793945,5076.520996,5022.169922,5031.255859,5031.255859,67684500
2020-07-13,5031.255859,5075.098145,5024.934082,5064.446777,5064.446777,65331900
2020-07-14,5064.446777,5079.122070,5053.722168,5079.122070,5079.122070,71530500
2020-07-15,5079.122070,5116.463867,5069.380859,5075.797852,5075.797852,82580500
2020-07-16,5075.797852,5107.259766,5075.797852,5098.374023,5098.374023,68710400
2020-07-17,5098.374023,5110.430176,5073.557129,5079.584961,5079.584961,61709100
2020-07-20,5079.584961,5100.191895,5031.888184,5051.105957,5051.105957,68632100
2020-07-21,5051.105957,5135.559082,5047.085938,5114.708984,5114.708984,83156800
2020-07-22,5114.708984,5142.043945,5099.566895,5110.187012,5110.187012,79454100
2020-07-23,5110.220215,5162.979980,5110.220215,5145.009766,5145.009766,98800000
2020-07-24,5145.011230,5149.589844,5074.492188,5082.991211,5082.991211,97013800
2020-07-27,5082.991211,5116.666016,5080.121094,5116.666016,5116.666016,103523300
2020-07-28,5116.666016,5143.286133,5097.418945,5112.988770,5112.988770,91890400
