Date,Open,High,Low,Close,Adj Close,Volume
2020-09-07,338.000000,343.000000,334.000000,341.000000,341.000000,46030500
2020-09-08,343.000000,345.000000,340.000000,343.000000,343.000000,26566000
2020-09-09,340.000000,340.000000,327.000000,332.000000,332.000000,53099000
2020-09-10,320.000000,320.000000,309.000000,309.000000,309.000000,227489500
2020-09-11,298.000000,318.000000,288.000000,316.000000,316.000000,94656500
2020-09-14,324.000000,333.000000,322.000000,324.000000,324.000000,181404500
2020-09-15,325.000000,339.000000,323.000000,329.000000,329.000000,169158000
2020-09-16,337.000000,352.000000,333.000000,334.000000,334.000000,222739500
2020-09-17,336.000000,338.000000,326.000000,335.000000,335.000000,66588000
2020-09-18,335.000000,337.000000,328.000000,330.000000,330.000000,20983500
2020-09-21,331.000000,332.000000,316.000000,318.000000,318.000000,66166500
2020-09-22,310.000000,317.000000,304.000000,314.000000,314.000000,75587500
2020-09-23,320.000000,320.000000,305.000000,308.000000,308.000000,98802000
2020-09-24,305.000000,309.000000,297.000000,304.000000,304.000000,105421000
2020-09-25,306.000000,309.000000,299.000000,303.000000,303.000000,106992000
2020-09-28,307.000000,314.000000,299.000000,309.000000,309.000000,68742500
2020-09-29,312.000000,320.000000,307.000000,311.000000,311.000000,81235000
2020-09-30,313.000000,314.000000,302.000000,309.000000,309.000000,36095000
2020-10-01,312.000000,312.000000,302.000000,304.000000,304.000000,68444000
2020-10-02,305.000000,307.000000,289.000000,296.000000,296.000000,48920500
2020-10-05,300.000000,309.000000,300.000000,306.000000,306.000000,48702500
2020-10-06,309.000000,312.000000,307.000000,309.000000,309.000000,53075500
2020-10-07,304.000000,309.000000,302.000000,307.000000,307.000000,24393000
2020-10-08,310.000000,320.000000,308.000000,319.000000,319.000000,48387500
2020-10-09,321.000000,325.000000,319.000000,321.000000,321.000000,82042000
2020-10-12,326.000000,327.000000,321.000000,324.000000,324.000000,62755500
2020-10-13,324.000000,332.000000,321.000000,330.000000,330.000000,52985500
2020-10-14,333.000000,337.000000,327.000000,336.000000,336.000000,66224500
2020-10-15,336.000000,338.000000,327.000000,331.000000,331.000000,46262000
2020-10-16,330.000000,335.000000,328.000000,330.000000,330.000000,27221500
2020-10-19,336.000000,336.000000,330.000000,336.000000,336.000000,38236000
2020-10-20,336.000000,348.000000,331.000000,344.000000,344.000000,135629500
2020-10-21,349.000000,350.000000,336.000000,336.000000,336.000000,93741500
2020-10-22,336.000000,340.000000,330.000000,330.000000,330.000000,49477500
2020-10-23,332.000000,349.000000,332.000000,348.000000,348.000000,78192500
2020-10-26,348.000000,348.000000,340.000000,345.000000,345.000000,30523000
2020-10-27,345.000000,356.000000,345.000000,349.000000,349.000000,71530000
2020-11-02,365.000000,380.000000,356.000000,358.000000,358.000000,224648000
2020-11-03,363.000000,368.000000,350.000000,355.000000,355.000000,84961500
2020-11-04,355.000000,360.000000,342.000000,342.000000,342.000000,61833500
2020-11-05,348.000000,351.000000,345.000000,349.000000,349.000000,66008000
2020-11-06,351.000000,354.000000,347.000000,351.000000,351.000000,83896500
2020-11-09,354.000000,373.000000,346.000000,372.000000,372.000000,192366500
2020-11-10,378.000000,378.000000,361.000000,370.000000,370.000000,181721500
2020-11-11,372.000000,372.000000,358.000000,360.000000,360.000000,98565000
2020-11-12,362.000000,366.000000,356.000000,357.000000,357.000000,74437500
2020-11-13,357.000000,370.000000,357.000000,359.000000,359.000000,171076500
2020-11-16,362.000000,370.000000,361.000000,369.000000,369.000000,113985000
2020-11-17,374.000000,374.000000,366.000000,367.000000,367.000000,62002500
2020-11-18,369.000000,369.000000,361.000000,361.000000,361.000000,50243500
2020-11-19,360.000000,366.000000,358.000000,361.000000,361.000000,85818500
2020-11-20,361.000000,368.000000,359.000000,364.000000,364.000000,106409000
2020-11-23,365.000000,367.000000,362.000000,363.000000,363.000000,98648500
2020-11-24,365.000000,373.000000,363.000000,365.000000,365.000000,195984000
2020-11-25,367.000000,368.000000,354.000000,361.000000,361.000000,114448500
2020-11-26,361.000000,364.000000,359.000000,361.000000,361.000000,39905000
2020-11-27,360.000000,362.000000,352.000000,357.000000,357.000000,162843000
2020-11-30,357.000000,359.000000,333.000000,344.000000,344.000000,94410500
2020-12-01,345.000000,353.000000,337.000000,350.000000,350.000000,88141500
2020-12-02,357.000000,361.000000,351.000000,357.000000,357.000000,140414000
2020-12-03,359.000000,360.000000,350.000000,351.000000,351.000000,66075000
2020-12-04,351.000000,356.000000,341.000000,354.000000,354.000000,50185000
2020-12-07,360.000000,367.000000,356.000000,364.000000,364.000000,157187500
2020-12-08,366.000000,391.000000,361.000000,383.000000,383.000000,807957000
2020-12-10,386.000000,390.000000,378.000000,380.000000,380.000000,264498500
2020-12-11,382.000000,404.000000,379.000000,389.000000,389.000000,431208500
2020-12-14,396.000000,399.000000,384.000000,388.000000,388.000000,153659500
2020-12-15,386.000000,406.000000,382.000000,399.000000,399.000000,299356500
2020-12-16,404.000000,414.000000,398.000000,400.000000,400.000000,193200000
2020-12-17,404.000000,408.000000,392.000000,404.000000,404.000000,123787000
2020-12-18,404.000000,414.000000,400.000000,412.000000,412.000000,119261500
2020-12-21,410.000000,450.000000,408.000000,436.000000,436.000000,278833000
2020-12-22,436.000000,444.000000,406.000000,406.000000,406.000000,203527000
2020-12-23,406.000000,432.000000,378.000000,430.000000,430.000000,285065000
2020-12-28,438.000000,474.000000,416.000000,472.000000,472.000000,468646500
2020-12-29,478.000000,478.000000,448.000000,468.000000,468.000000,213649500
2020-12-30,466.000000,466.000000,440.000000,440.000000,440.000000,100894000
2021-01-04,450.000000,484.000000,424.000000,484.000000,484.000000,248147500
2021-01-05,480.000000,490.000000,466.000000,478.000000,478.000000,115131000
2021-01-06,472.000000,476.000000,446.000000,460.000000,460.000000,201053500
